Row, Col, Ala, Ala %SD, Ala/Cr+PCr, Asp, Asp %SD, Asp/Cr+PCr, Cr, Cr %SD, Cr/Cr+PCr, PCr, PCr %SD, PCr/Cr+PCr, GABA, GABA %SD, GABA/Cr+PCr, Glc, Glc %SD, Glc/Cr+PCr, Gln, Gln %SD, Gln/Cr+PCr, Glu, Glu %SD, Glu/Cr+PCr, GPC, GPC %SD, GPC/Cr+PCr, PCh, PCh %SD, PCh/Cr+PCr, GSH, GSH %SD, GSH/Cr+PCr, Ins, Ins %SD, Ins/Cr+PCr, Lac, Lac %SD, Lac/Cr+PCr, NAA, NAA %SD, NAA/Cr+PCr, NAAG, NAAG %SD, NAAG/Cr+PCr, Scyllo, Scyllo %SD, Scyllo/Cr+PCr, Tau, Tau %SD, Tau/Cr+PCr, -CrCH2, -CrCH2 %SD, -CrCH2/Cr+PCr, GPC+PCh, GPC+PCh %SD, GPC+PCh/Cr+PCr, NAA+NAAG, NAA+NAAG %SD, NAA+NAAG/Cr+PCr, Cr+PCr, Cr+PCr %SD, Cr+PCr/Cr+PCr, Glu+Gln, Glu+Gln %SD, Glu+Gln/Cr+PCr, Lip13a, Lip13a %SD, Lip13a/Cr+PCr, Lip13b, Lip13b %SD, Lip13b/Cr+PCr, Lip09, Lip09 %SD, Lip09/Cr+PCr, MM09, MM09 %SD, MM09/Cr+PCr, Lip20, Lip20 %SD, Lip20/Cr+PCr, MM20, MM20 %SD, MM20/Cr+PCr, MM12, MM12 %SD, MM12/Cr+PCr, MM14, MM14 %SD, MM14/Cr+PCr, MM17, MM17 %SD, MM17/Cr+PCr, Lip13a+Lip13b, Lip13a+Lip13b %SD, Lip13a+Lip13b/Cr+PCr, MM14+Lip13a+L, MM14+Lip13a+L %SD, MM14+Lip13a+L/Cr+PCr, MM09+Lip09, MM09+Lip09 %SD, MM09+Lip09/Cr+PCr, MM20+Lip20, MM20+Lip20 %SD, MM20+Lip20/Cr+PCr
  8,   8,    0.000,  999,    0.000,  183.952,  102,    0.206,  156.072,  159,    0.175,  737.144,   35,    0.825,  119.676,   96,    0.134,   32.692,  354,  3.7E-02,  446.852,   72,    0.500, 1.41E+03,   26,    1.577,  296.714,   10,    0.332,    0.000,  999,    0.000,  107.129,   98,    0.120, 1.08E+03,   31,    1.207,    0.000,  999,    0.000, 1.76E+03,    8,    1.966,  192.137,   80,    0.215,   66.984,   44,  7.5E-02,  164.690,  107,    0.184,  209.755,   61,    0.235,  296.714,   10,    0.332, 1.95E+03,    6,    2.181,  893.216,    9,    1.000, 1.86E+03,   28,    2.077,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.43E+03,   15,    1.604,   10.800,  999,  1.2E-02, 2.52E+03,   16,    2.825,  513.783,   26,    0.575,    0.000,  999,    0.000, 1.02E+03,   22,    1.141,    0.000,  999,    0.000,  513.783,   26,    0.575, 1.43E+03,   15,    1.604, 2.53E+03,   16,    2.837
  7,   7,    0.000,  999,    0.000,  113.375,  133,    0.116,  957.863,   19,    0.977,   22.163,  786,  2.3E-02,   97.591,   92,    0.100,   89.750,  103,  9.2E-02,  528.057,   48,    0.539, 1.16E+03,   25,    1.184,  332.324,    9,    0.339,    0.000,  999,    0.000,  365.074,   26,    0.373, 1.74E+03,   19,    1.777,   33.113,  416,  3.4E-02, 1.26E+03,    9,    1.285,  331.207,   32,    0.338,   13.998,  180,  1.4E-02,    0.762,  999,  7.8E-04,    0.000,  999,    0.000,  332.324,    9,    0.339, 1.59E+03,    8,    1.623,  980.026,    8,    1.000, 1.69E+03,   22,    1.723, 3.67E+03,   21,    3.747,    0.000,  999,    0.000,  586.175,   82,    0.598, 1.52E+03,   29,    1.553,  547.224,   69,    0.558, 1.91E+03,   33,    1.951,  528.449,   51,    0.539, 1.64E+03,   33,    1.677,  530.693,   66,    0.542, 3.67E+03,   21,    3.747, 5.84E+03,   11,    5.963, 2.11E+03,   15,    2.151, 2.46E+03,   25,    2.510
  7,   8,    0.000,  999,    0.000,   80.715,  234,  9.0E-02,  894.058,   28,    0.992,    7.290,  999,  8.1E-03,  100.169,  115,    0.111,  118.241,   98,    0.131,  452.525,   74,    0.502, 1.65E+03,   24,    1.830,  325.935,   10,    0.362,    0.000,  999,    0.000,  380.957,   30,    0.423, 1.80E+03,   21,    1.998,    0.000,  999,    0.000, 1.20E+03,   10,    1.326,  419.135,   30,    0.465,   24.078,  126,  2.7E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  325.935,   10,    0.362, 1.61E+03,    8,    1.791,  901.348,    9,    1.000, 2.10E+03,   25,    2.333,    0.000,  999,    0.000, 1.33E+03,   18,    1.477,    3.626,  999,  4.0E-03, 1.76E+03,   17,    1.953,  210.449,   70,    0.233, 2.82E+03,   18,    3.132,  551.947,   30,    0.612, 3.58E+03,   11,    3.967, 1.86E+03,   17,    2.059, 1.33E+03,   18,    1.477, 5.46E+03,    8,    6.057, 1.76E+03,   15,    1.957, 3.03E+03,   17,    3.366
  7,   9,    0.000,  999,    0.000,    0.000,  999,    0.000,  481.936,   47,    0.599,  323.162,   71,    0.401,   57.452,  211,  7.1E-02,   27.185,  447,  3.4E-02,  403.202,   72,    0.501, 1.01E+03,   33,    1.257,  347.158,    9,    0.431,    0.000,  999,    0.000,  159.620,   59,    0.198,  910.001,   35,    1.130,    0.000,  999,    0.000, 1.47E+03,   10,    1.831,  339.374,   44,    0.422,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,  347.158,    9,    0.431, 1.81E+03,    7,    2.252,  805.098,    9,    1.000, 1.42E+03,   33,    1.758,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.77E+03,   14,    2.192,   36.901,  240,  4.6E-02, 4.52E+03,   11,    5.613,  517.901,   36,    0.643,    0.000,  999,    0.000, 2.02E+03,   17,    2.512,    0.000,  999,    0.000,  517.901,   36,    0.643, 1.77E+03,   14,    2.192, 4.56E+03,   11,    5.659
  8,   7,    0.000,  999,    0.000,   70.355,  307,  7.0E-02,  895.176,   26,    0.887,  113.485,  207,    0.113,   46.466,  280,  4.6E-02,   87.803,  153,  8.7E-02,  267.983,  111,    0.266, 1.22E+03,   28,    1.206,  295.240,   11,    0.293,    0.000,  999,    0.000,  362.676,   30,    0.360, 1.25E+03,   29,    1.240,  107.717,  150,    0.107, 1.58E+03,    8,    1.562,  530.131,   24,    0.526,   24.882,  133,  2.5E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  295.240,   11,    0.293, 2.11E+03,    7,    2.087, 1.01E+03,    9,    1.000, 1.48E+03,   29,    1.471, 2.77E+03,   33,    2.750,    0.000,  999,    0.000,  680.697,   59,    0.675, 1.84E+03,   25,    1.824,  468.208,   61,    0.464, 2.17E+03,   31,    2.147,  713.470,   43,    0.707,  674.867,   84,    0.669,  329.088,  111,    0.326, 2.77E+03,   33,    2.750, 4.16E+03,   18,    4.126, 2.52E+03,   14,    2.499, 2.63E+03,   25,    2.611
  8,   9,    0.000,  999,    0.000,   26.117,  727,  3.1E-02,  535.141,   45,    0.628,  316.637,   78,    0.372,   37.145,  323,  4.4E-02,   26.087,  460,  3.1E-02,  263.858,   95,    0.310, 1.10E+03,   27,    1.286,  357.063,    7,    0.419,    0.000,  999,    0.000,  165.358,   51,    0.194,  885.617,   34,    1.040,    0.000,  999,    0.000, 1.64E+03,    8,    1.931,  360.138,   38,    0.423,   52.584,   54,  6.2E-02,    0.000,  999,    0.000,  367.964,   33,    0.432,  357.063,    7,    0.419, 2.01E+03,    5,    2.354,  851.778,    8,    1.000, 1.36E+03,   29,    1.596,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.32E+03,   17,    1.555, 3.49E-03,  999,  4.1E-06, 2.89E+03,   15,    3.396,  127.491,  119,    0.150,    0.000,  999,    0.000, 2.02E+03,   15,    2.375,    0.000,  999,    0.000,  127.491,  119,    0.150, 1.32E+03,   17,    1.555, 2.89E+03,   15,    3.396
  9,   7,   22.439,  535,  2.1E-02,   29.537,  742,  2.7E-02,  718.685,   18,    0.660,  369.643,   34,    0.340,    0.000,  999,    0.000,   50.775,  275,  4.7E-02,  373.973,   65,    0.344, 1.42E+03,   19,    1.304,  313.908,    7,    0.288,    0.000,  999,    0.000,  334.267,   25,    0.307,  982.367,   28,    0.903,    0.000,  999,    0.000, 2.05E+03,    5,    1.884,  440.878,   26,    0.405,    8.003,  349,  7.4E-03,    0.000,  999,    0.000,    0.000,  999,    0.000,  313.908,    7,    0.288, 2.49E+03,    4,    2.289, 1.09E+03,    6,    1.000, 1.79E+03,   21,    1.648, 2.04E+03,   29,    1.877,    0.000,  999,    0.000,  565.250,   58,    0.519, 1.86E+03,   18,    1.710,  330.907,   70,    0.304, 2.67E+03,   17,    2.457,  527.133,   56,    0.484, 1.75E+03,   23,    1.604,  597.458,   38,    0.549, 2.04E+03,   29,    1.877, 4.31E+03,    9,    3.965, 2.43E+03,    9,    2.230, 3.01E+03,   15,    2.761
  9,   8,  250.666,   56,    0.213,    0.000,  999,    0.000,  729.136,   20,    0.619,  448.103,   32,    0.381,  126.028,  120,    0.107,   79.361,  189,  6.7E-02,  636.058,   46,    0.540, 1.55E+03,   22,    1.317,  323.993,    8,    0.275,    0.000,  999,    0.000,  376.007,   25,    0.319, 1.49E+03,   20,    1.266,    0.000,  999,    0.000, 2.20E+03,    6,    1.870,  458.585,   32,    0.390,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,  323.993,    8,    0.275, 2.66E+03,    4,    2.260, 1.18E+03,    6,    1.000, 2.19E+03,   22,    1.857,    0.000,  999,    0.000,    0.000,  999,    0.000, 6.50E-03,  999,  5.5E-06, 1.39E+03,   13,    1.182, 1.72E-04,  999,  1.5E-07, 2.08E+03,   19,    1.771,  263.636,   59,    0.224,    0.000,  999,    0.000,  757.621,   28,    0.644,    0.000,  999,    0.000,  263.636,   59,    0.224, 1.39E+03,   13,    1.182, 2.08E+03,   19,    1.771
  9,   9,  215.881,   36,    0.251,    0.000,  999,    0.000,  347.163,   43,    0.404,  512.991,   31,    0.596,    0.000,  999,    0.000,    0.000,  999,    0.000,   48.094,  322,  5.6E-02, 1.10E+03,   16,    1.274,  372.062,    5,    0.433,    0.000,  999,    0.000,  270.320,   21,    0.314,  788.209,   26,    0.916,    0.000,  999,    0.000, 1.77E+03,    5,    2.057,  561.942,   15,    0.653,   23.180,   95,  2.7E-02,    0.000,  999,    0.000,  244.605,   37,    0.284,  372.062,    5,    0.433, 2.33E+03,    3,    2.711,  860.155,    6,    1.000, 1.14E+03,   20,    1.330,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.08E+03,   19,    1.251, 2.86E-03,  999,  3.3E-06, 2.15E+03,   17,    2.497,  151.419,   88,    0.176, 1.53E+03,   21,    1.776, 1.09E+03,   23,    1.266,    0.000,  999,    0.000, 1.68E+03,   23,    1.952, 1.08E+03,   19,    1.251, 2.15E+03,   17,    2.497
  6,   6,   45.948,  228,  4.1E-02,    0.000,  999,    0.000,  853.507,   21,    0.770,  254.818,   72,    0.230,   26.534,  445,  2.4E-02,    0.000,  999,    0.000,  385.743,   55,    0.348, 1.32E+03,   19,    1.193,  374.165,    6,    0.338,    0.000,  999,    0.000,  476.075,   15,    0.430,  933.342,   26,    0.842,    0.000,  999,    0.000, 1.58E+03,    7,    1.425,  329.370,   37,    0.297,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,  374.165,    6,    0.338, 1.91E+03,    5,    1.722, 1.11E+03,    5,    1.000, 1.71E+03,   19,    1.541, 7.62E+03,   16,    6.875,    0.000,  999,    0.000, 1.17E+03,   41,    1.054, 1.14E+03,   40,    1.026, 1.40E+03,   25,    1.260, 1.94E+03,   27,    1.755,  411.187,   61,    0.371, 2.30E+03,   27,    2.075, 1.22E+03,   25,    1.099, 7.62E+03,   16,    6.875, 1.03E+04,    8,    9.320, 2.31E+03,   12,    2.080, 3.34E+03,   14,    3.014
