Row, Col, Ala, Ala %SD, Ala/Cr+PCr, Asp, Asp %SD, Asp/Cr+PCr, Cr, Cr %SD, Cr/Cr+PCr, PCr, PCr %SD, PCr/Cr+PCr, GABA, GABA %SD, GABA/Cr+PCr, Glc, Glc %SD, Glc/Cr+PCr, Gln, Gln %SD, Gln/Cr+PCr, Glu, Glu %SD, Glu/Cr+PCr, GPC, GPC %SD, GPC/Cr+PCr, PCh, PCh %SD, PCh/Cr+PCr, GSH, GSH %SD, GSH/Cr+PCr, Ins, Ins %SD, Ins/Cr+PCr, Lac, Lac %SD, Lac/Cr+PCr, NAA, NAA %SD, NAA/Cr+PCr, NAAG, NAAG %SD, NAAG/Cr+PCr, Scyllo, Scyllo %SD, Scyllo/Cr+PCr, Tau, Tau %SD, Tau/Cr+PCr, -CrCH2, -CrCH2 %SD, -CrCH2/Cr+PCr, GPC+PCh, GPC+PCh %SD, GPC+PCh/Cr+PCr, NAA+NAAG, NAA+NAAG %SD, NAA+NAAG/Cr+PCr, Cr+PCr, Cr+PCr %SD, Cr+PCr/Cr+PCr, Glu+Gln, Glu+Gln %SD, Glu+Gln/Cr+PCr, Lip13a, Lip13a %SD, Lip13a/Cr+PCr, Lip13b, Lip13b %SD, Lip13b/Cr+PCr, Lip09, Lip09 %SD, Lip09/Cr+PCr, MM09, MM09 %SD, MM09/Cr+PCr, Lip20, Lip20 %SD, Lip20/Cr+PCr, MM20, MM20 %SD, MM20/Cr+PCr, MM12, MM12 %SD, MM12/Cr+PCr, MM14, MM14 %SD, MM14/Cr+PCr, MM17, MM17 %SD, MM17/Cr+PCr, Lip13a+Lip13b, Lip13a+Lip13b %SD, Lip13a+Lip13b/Cr+PCr, MM14+Lip13a+L, MM14+Lip13a+L %SD, MM14+Lip13a+L/Cr+PCr, MM09+Lip09, MM09+Lip09 %SD, MM09+Lip09/Cr+PCr, MM20+Lip20, MM20+Lip20 %SD, MM20+Lip20/Cr+PCr
  7,   7,    0.000,  999,    0.000,  420.764,  116,    0.119,    0.000,  999,    0.000, 3.54E+03,    5,    1.000,  106.128,  300,  3.0E-02,   16.489,  999,  4.7E-03, 2.14E+03,   29,    0.605, 3.88E+03,   19,    1.096,  920.231,    6,    0.260,    0.000,  999,    0.000,  743.409,   27,    0.210,  826.269,   74,    0.233,  321.243,  104,  9.1E-02, 4.50E+03,    4,    1.271,    0.000,  999,    0.000,  168.353,   39,  4.8E-02,    8.168,  999,  2.3E-03,  181.275,  145,  5.1E-02,  920.231,    6,    0.260, 4.50E+03,    4,    1.271, 3.54E+03,    5,    1.000, 6.03E+03,   17,    1.701,  897.296,  105,    0.253,   15.777,  999,  4.5E-03,    0.000,  999,    0.000, 3.09E+03,   13,    0.872,  165.291,   99,  4.7E-02, 6.15E+03,   12,    1.735,  970.245,   24,    0.274, 4.51E+03,   14,    1.273, 2.61E+03,   18,    0.737,  913.073,   63,    0.258, 6.40E+03,   12,    1.805, 3.09E+03,   13,    0.872, 6.31E+03,   12,    1.781
  6,   6,  711.497,   55,    0.256,  422.309,  114,    0.152, 1.18E+03,   63,    0.423, 1.60E+03,   47,    0.577,  149.856,  211,  5.4E-02,  420.894,   73,    0.151,  774.845,  108,    0.279, 2.25E+03,   43,    0.810, 1.04E+03,   42,    0.374,   10.960,  999,  3.9E-03, 1.19E+03,   21,    0.429, 3.71E+03,   25,    1.334,  902.215,   49,    0.325, 3.95E+03,    5,    1.420,    0.000,  999,    0.000,  304.550,   24,    0.110, 1.20E+03,   40,    0.432,  707.553,   49,    0.255, 1.05E+03,    7,    0.378, 3.95E+03,    5,    1.420, 2.78E+03,    6,    1.000, 3.03E+03,   48,    1.089,    0.000,  999,    0.000,  173.394,  176,  6.2E-02,   45.875,  202,  1.7E-02, 2.06E+03,   21,    0.739,   25.712,  215,  9.3E-03, 3.56E+03,   23,    1.280,  549.225,   51,    0.198,  583.476,  113,    0.210, 1.19E+03,   41,    0.427,  173.394,  176,  6.2E-02, 1.31E+03,   63,    0.470, 2.10E+03,   21,    0.756, 3.58E+03,   23,    1.289
  6,   7,   74.646,  610,  2.1E-02,    0.000,  999,    0.000, 1.46E+03,   60,    0.411, 2.10E+03,   42,    0.589,  291.078,  143,  8.2E-02,  354.880,  111,    0.100, 3.11E+03,   35,    0.874, 1.37E+03,   89,    0.385, 1.33E+03,    6,    0.374,    0.000,  999,    0.000, 1.22E+03,   23,    0.343, 5.60E+03,   18,    1.575,  474.006,  109,    0.133, 4.92E+03,    4,    1.383,    0.000,  999,    0.000,  476.225,   18,    0.134, 1.21E+03,   49,    0.340, 1.70E+03,   23,    0.476, 1.33E+03,    6,    0.374, 4.92E+03,    4,    1.383, 3.56E+03,    5,    1.000, 4.48E+03,   44,    1.259,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.69E+03,   23,    0.474,    1.890,  999,  5.3E-04, 3.01E+03,   26,    0.846,  534.290,   49,    0.150, 1.62E+03,   37,    0.456,    0.000,  999,    0.000,    0.000,  999,    0.000, 2.16E+03,   33,    0.606, 1.69E+03,   23,    0.474, 3.01E+03,   26,    0.846
  6,   8,  837.782,   43,    0.365,   32.116,  999,  1.4E-02,    0.000,  999,    0.000, 2.29E+03,    7,    1.000,   67.379,  413,  2.9E-02,  131.229,  208,  5.7E-02, 2.19E+03,   37,    0.955, 1.21E+03,   75,    0.526,   27.785,  999,  1.2E-02,  874.332,   52,    0.381,  400.006,   56,    0.174, 2.28E+03,   34,    0.994,    0.000,  999,    0.000, 3.31E+03,    5,    1.441,    0.000,  999,    0.000,  178.473,   36,  7.8E-02,  606.583,   71,    0.264, 2.37E+03,   12,    1.033,  902.117,    7,    0.393, 3.31E+03,    5,    1.441, 2.29E+03,    7,    1.000, 3.40E+03,   41,    1.481,   31.306,  999,  1.4E-02,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.87E+03,   21,    0.814,   11.897,  851,  5.2E-03, 3.47E+03,   21,    1.511,  609.954,   44,    0.266, 1.80E+03,   33,    0.784,    0.000,  999,    0.000,   31.306,  999,  1.4E-02, 2.44E+03,   30,    1.063, 1.87E+03,   21,    0.814, 3.48E+03,   21,    1.516
  7,   6,  210.979,  125,  6.0E-02,  516.391,   93,    0.146, 1.58E+03,   35,    0.448, 1.95E+03,   29,    0.552,    0.000,  999,    0.000,  473.770,   67,    0.134, 1.59E+03,   36,    0.451, 2.47E+03,   25,    0.700, 1.12E+03,    5,    0.318,    0.000,  999,    0.000, 1.24E+03,   15,    0.352, 3.68E+03,   17,    1.043,    0.000,  999,    0.000, 4.51E+03,    6,    1.279,  106.709,  273,  3.0E-02,  223.948,   28,  6.4E-02,  667.999,   67,    0.189,  422.434,   64,    0.120, 1.12E+03,    5,    0.318, 4.62E+03,    4,    1.309, 3.53E+03,    4,    1.000, 4.06E+03,   22,    1.151, 1.34E+03,   61,    0.380,    0.000,  999,    0.000,   29.327,  999,  8.3E-03, 2.28E+03,   22,    0.648,  184.839,  141,  5.2E-02, 5.05E+03,   17,    1.432,  723.686,   46,    0.205, 2.00E+03,   34,    0.567, 1.27E+03,   38,    0.359, 1.34E+03,   61,    0.380, 4.06E+03,   20,    1.152, 2.31E+03,   18,    0.656, 5.23E+03,   16,    1.484
  7,   8,  867.520,   27,    0.265,    0.000,  999,    0.000, 1.04E+03,   51,    0.318, 2.23E+03,   25,    0.682,  248.820,  129,  7.6E-02,  217.534,  144,  6.6E-02, 1.79E+03,   28,    0.547, 2.97E+03,   20,    0.906, 1.19E+03,    4,    0.365,    0.000,  999,    0.000,  961.600,   17,    0.294, 2.62E+03,   22,    0.800,    0.000,  999,    0.000, 4.45E+03,    5,    1.360,  319.093,   77,  9.8E-02,  225.265,   27,  6.9E-02,    0.000,  999,    0.000,  732.310,   37,    0.224, 1.19E+03,    4,    0.365, 4.77E+03,    4,    1.458, 3.27E+03,    4,    1.000, 4.75E+03,   17,    1.453,    0.000,  999,    0.000,  208.481,  129,  6.4E-02,   49.020,  181,  1.5E-02, 1.42E+03,   23,    0.434,   32.247,  168,  9.9E-03, 3.17E+03,   19,    0.969,  363.976,   53,    0.111,    0.000,  999,    0.000,  800.881,   45,    0.245,  208.481,  129,  6.4E-02,  572.457,   54,    0.175, 1.47E+03,   22,    0.449, 3.20E+03,   19,    0.979
  8,   6,    0.000,  999,    0.000,    0.000,  999,    0.000, 2.37E+03,   23,    0.585, 1.68E+03,   33,    0.415,    0.000,  999,    0.000,  169.287,  206,  4.2E-02, 1.79E+03,   32,    0.444, 4.49E+03,   14,    1.110, 1.13E+03,    4,    0.279,    0.000,  999,    0.000, 1.81E+03,    9,    0.447, 4.21E+03,   13,    1.042,  705.730,   43,    0.174, 5.18E+03,    5,    1.281,  393.739,   78,  9.7E-02,  187.542,   31,  4.6E-02,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.13E+03,    4,    0.279, 5.57E+03,    3,    1.378, 4.04E+03,    3,    1.000, 6.28E+03,   15,    1.553, 2.93E+03,   32,    0.725,    0.000,  999,    0.000,  334.234,  125,  8.3E-02, 2.19E+03,   23,    0.541,  381.291,   75,  9.4E-02, 4.51E+03,   16,    1.115,  820.175,   39,    0.203, 3.89E+03,   17,    0.962, 1.15E+03,   37,    0.283, 2.93E+03,   32,    0.725, 7.64E+03,   10,    1.890, 2.52E+03,   14,    0.624, 4.89E+03,   15,    1.210
  8,   7,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.30E+03,   40,    0.362, 2.29E+03,   23,    0.638,  105.745,  302,  3.0E-02,    0.000,  999,    0.000, 2.08E+03,   26,    0.580, 3.79E+03,   17,    1.058,  773.185,    6,    0.216,    0.000,  999,    0.000, 1.44E+03,   11,    0.403, 2.47E+03,   22,    0.688,  263.979,  108,  7.4E-02, 4.48E+03,    3,    1.249,    0.000,  999,    0.000,  119.008,   46,  3.3E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  773.185,    6,    0.216, 4.48E+03,    3,    1.249, 3.58E+03,    3,    1.000, 5.87E+03,   16,    1.638, 4.89E+03,   20,    1.364,    0.000,  999,    0.000,    0.000,  999,    0.000, 2.42E+03,   16,    0.676,  445.119,   92,    0.124, 4.40E+03,   16,    1.228,  839.895,   30,    0.234, 6.82E+03,    6,    1.903, 2.01E+03,   23,    0.560, 4.89E+03,   20,    1.364, 1.25E+04,    7,    3.501, 2.42E+03,   16,    0.676, 4.85E+03,   15,    1.352
  8,   8,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000, 3.36E+03,    4,    1.000,  230.001,  134,  6.8E-02,  130.484,  229,  3.9E-02, 1.17E+03,   39,    0.347, 3.29E+03,   17,    0.979, 1.16E+03,    4,    0.344,    0.000,  999,    0.000,  924.407,   16,    0.275, 3.17E+03,   16,    0.943,   95.401,  251,  2.8E-02, 4.71E+03,    3,    1.401,    0.000,  999,    0.000,  371.412,   15,    0.111,  729.220,   57,    0.217,  659.898,   31,    0.196, 1.16E+03,    4,    0.344, 4.71E+03,    3,    1.401, 3.36E+03,    4,    1.000, 4.46E+03,   17,    1.327, 1.36E+03,   40,    0.404,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.30E+03,   25,    0.388,  183.428,  125,  5.5E-02, 2.76E+03,   20,    0.821,  416.778,   39,    0.124, 1.44E+03,   32,    0.427,  695.880,   47,    0.207, 1.36E+03,   40,    0.404, 3.21E+03,   22,    0.955, 1.30E+03,   25,    0.388, 2.94E+03,   20,    0.876
  5,   5,    0.000,  999,    0.000,  429.831,   86,    0.219, 1.08E+03,   40,    0.551,  880.718,   50,    0.449,  172.719,  136,  8.8E-02,  322.184,   73,    0.164, 1.10E+03,   43,    0.561, 2.01E+03,   27,    1.022,  922.833,    5,    0.470,    0.000,  999,    0.000,  705.212,   22,    0.359, 1.29E+03,   37,    0.658,  256.373,   98,    0.131, 2.71E+03,    8,    1.382,  645.059,   37,    0.329,   62.804,   80,  3.2E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  922.833,    5,    0.470, 3.36E+03,    5,    1.711, 1.96E+03,    6,    1.000, 3.11E+03,   24,    1.583,    0.000,  999,    0.000,  359.024,   90,    0.183,   23.485,  649,  1.2E-02, 1.84E+03,   20,    0.939,   63.824,  158,  3.3E-02, 4.36E+03,   15,    2.223,  538.989,   42,    0.275,   37.229,  999,  1.9E-02, 2.26E+03,   12,    1.150,  359.024,   90,    0.183,  935.242,   55,    0.476, 1.87E+03,   18,    0.951, 4.43E+03,   15,    2.256
